1,0.277
1,0.211
1,0.256
1,0.297
1,0.237
1,0.240
1,0.257
1,0.263
1,0.279
1,0.366
2,0.275
2,0.237
2,0.262
2,0.237
2,0.242
2,0.234
2,0.213
2,0.261
2,0.262
2,0.285
2,0.238
2,0.335
3,0.237
3,0.315
3,0.269
3,0.293
3,0.297
3,0.296
3,0.307
3,0.290
3,0.308
3,0.299
3,0.316
3,0.297
3,0.359
4,0.254
4,0.248
4,0.231
4,0.223
4,0.257
4,0.240
4,0.245
4,0.246
4,0.233
4,0.230
4,0.189
4,0.225
4,0.210
5,0.173
5,0.141
5,0.179
5,0.177
5,0.162
5,0.182
5,0.202
5,0.179
5,0.173
5,0.182
5,0.189
5,0.185
5,0.197
5,0.190
5,0.185
5,0.183
5,0.213
5,0.183
6,0.249
6,0.284
6,0.311
6,0.295
6,0.298
6,0.294
6,0.291
6,0.321
6,0.310
6,0.315
6,0.293
6,0.302
6,0.294
6,0.265
6,0.326
7,0.246
7,0.283
7,0.308
7,0.296
7,0.302
7,0.356
7,0.293
7,0.323
7,0.321
7,0.336
7,0.332
7,0.353
7,0.358
7,0.357
7,0.325
7,0.385
